created_at,user_name,screen_name,description,user_location,text,language,hashtags,media_url,source,coordinates,place,time_zone
2021-12-18 16:08:20+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","Mar agitada en Punta Nocedal
https://t.co/gPbLfuMVIT https://t.co/XXZ3kR6fHn",es,,['https://pbs.twimg.com/media/FG5wA9FWYAsPlw6.jpg'],Twitter Web App,,,
2021-12-16 17:16:53+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","#Rutaceae
#Coleonema pulchrum Hook. / Rosa del cielo. Pink confetti bush. Buisson confetti. https://t.co/T00LNWyrl8",it,"['Rutaceae', 'Coleonema']",['https://pbs.twimg.com/media/FGvshXHXEAQFjRk.jpg'],Twitter Web App,,,
2021-12-12 16:15:39+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España",Day Dreaming https://t.co/HGb6HApCsr,en,,['https://pbs.twimg.com/media/FGa4It_XMAATSc6.jpg'],Twitter Web App,,,
2021-12-10 08:08:34+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","#Paulowniaceae
#Paulownia tomentosa Steud. / Paulownia, Princesstree. https://t.co/So08Xb8FJT",tl,"['Paulowniaceae', 'Paulownia']",['https://pbs.twimg.com/media/FGO1fHqWUAEzbXG.jpg'],Twitter Web App,,,
2021-12-07 17:08:36+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","#Oxalidaceae
#Oxalis articulata Savigny / Trébol, Vinagrillo rosado. https://t.co/jFvMQJyFX4",und,"['Oxalidaceae', 'Oxalis']",['https://pbs.twimg.com/media/FGBUUXXXIAYU9Ty.jpg'],Twitter Web App,,,
2021-12-06 18:11:35+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España",Dragon land https://t.co/8FVbJ1JrqS,en,,['https://pbs.twimg.com/media/FF8ZG54XwAMuVCq.jpg'],Twitter Web App,,,
2021-12-06 09:13:10+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España",Nymphaea 'Attraction' https://t.co/YFVFOIUzWN,en,,['https://pbs.twimg.com/media/FF6d6nQWYAQLUgn.jpg'],Twitter Web App,,,
2021-12-05 17:20:37+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España",Reflejos del atardecer https://t.co/FwMxAT1PDj,es,,['https://pbs.twimg.com/media/FF3D48IX0AAONJx.jpg'],Twitter Web App,,,
2021-12-04 17:56:12+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","#Onagraceae
#Oenothera lindheimeri (Engelm. &amp; A.Gray) W.L.Wagner &amp; Hoch / Estrellita. Butterfly Gaura. Gaura. https://t.co/gPBKxu0uOP",ca,"['Onagraceae', 'Oenothera']",['https://pbs.twimg.com/media/FFyCcV9XwAcJU49.jpg'],Twitter Web App,,,
2021-12-04 12:02:53+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","Por el Paseo Fernando Quiñones, de camino al Castillo San Sebastián #Cádiz
https://t.co/pE4GjzRnkd https://t.co/YYzKtHCaU2",es,['Cádiz'],['https://pbs.twimg.com/media/FFwxlJzXEAEjBon.jpg'],Twitter Web App,,,
2021-12-02 17:32:23+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","#Pinaceae
#Pinus  sylvestris L. / Pino silvestre.
Subida al Penyagolosa https://t.co/suRw3s2LLQ https://t.co/qedodHIyTV",ca,"['Pinaceae', 'Pinus']",['https://pbs.twimg.com/media/FFnp0L7XIAAz2Wn.jpg'],Twitter Web App,,,
2021-12-01 04:54:41+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España",#HappyDecember #FelizDiciembre Salud y bienestar para este mes final de año https://t.co/jaKsVyRP6k,es,"['HappyDecember', 'FelizDiciembre']",['https://pbs.twimg.com/media/FFfyyCXXwAQx38m.jpg'],Twitter Web App,,,
2021-11-27 17:32:58+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España",Melancólico atardecer 📷 04/11/2014 🌅 https://t.co/Lg0QkdiJnf,pt,,['https://pbs.twimg.com/media/FFN5xZ2XIAcUOGB.jpg'],Twitter Web App,,,
2021-11-26 16:39:37+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","#Nymphaeaceae
#Nymphaea alba L. / Nenúfar blanco https://t.co/eOur8b6WsP",ca,"['Nymphaeaceae', 'Nymphaea']",['https://pbs.twimg.com/media/FFIkM2vXwAAGEeX.jpg'],Twitter Web App,,,
2021-11-26 16:29:37+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","De paseo por Albarracín
https://t.co/5V6KzEEt5j https://t.co/rzPTOFfZ3e",es,,['https://pbs.twimg.com/media/FFIh6FyXoAUsJvp.jpg'],Twitter Web App,,,
2021-11-21 07:05:03+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","Dorado atardecer en L'Albufera
https://t.co/DnGfvjhL7d https://t.co/bMqjNLIUAO",es,,['https://pbs.twimg.com/media/FEswn5nX0AMZ837.jpg'],Twitter Web App,,,
2021-11-21 05:39:44+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","#Orchidaceae
#Phalaenopsis spp. null https://t.co/sWG9uEnbpk",in,"['Orchidaceae', 'Phalaenopsis']",['https://pbs.twimg.com/media/FEsdNCpXoAcjrwE.jpg'],Twitter Web App,,,
2021-11-20 16:47:27+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","#Orchidaceae
#Vanda coerulea Griff. ex Lindl. https://t.co/6f5iplWbrz",ro,"['Orchidaceae', 'Vanda']",['https://pbs.twimg.com/media/FEpsbEcWYAskvO7.jpg'],Twitter Web App,,,
2021-11-18 12:16:56+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","Rayos crepusculares 📷 18/11/2021 🌅
https://t.co/81vkI4rbZc https://t.co/72YkvdQdmJ",es,,['https://pbs.twimg.com/media/FEebXIQWYAAybHj.jpg'],Twitter Web App,,,
2021-11-13 08:08:33+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","Panorámica de Zahara de la Sierra #Cadiz 
Vista desde el Castillo 📷 20/10/2014 🏘️
https://t.co/FyPhS2xeqc https://t.co/AyYX7cTCI4",es,['Cadiz'],['https://pbs.twimg.com/media/FEDyjqHX0AMdyHr.jpg'],Twitter Web App,,,
2021-11-13 06:00:12+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","#Orchidaceae
#Cattleya spp. null https://t.co/DexpJKQqrF",in,"['Orchidaceae', 'Cattleya']",['https://pbs.twimg.com/media/FEDVKtRX0AA2gQn.jpg'],Twitter Web App,,,
2021-11-08 17:32:40+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","#Nymphaeaceae
#Nymphaea nouchali Burm.f. / Blue water-lily https://t.co/krUIfjFY8J",en,"['Nymphaeaceae', 'Nymphaea']",['https://pbs.twimg.com/media/FDsDujgXsAEJP5F.jpg'],Twitter Web App,,,
2021-11-07 17:14:07+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","Nets in smooth waters
https://t.co/yzxCSQ9gqn https://t.co/3piwTfE5Gm",en,,['https://pbs.twimg.com/media/FDm1yKjWUAEimFl.jpg'],Twitter Web App,,,
2021-11-07 16:47:27+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","#Nepenthaceae
#Nepenthes × neglecta Macfarl. / Pitcher plant https://t.co/D19XFPBIO7",en,"['Nepenthaceae', 'Nepenthes']",['https://pbs.twimg.com/media/FDmvxY3X0AQj--E.jpg'],Twitter Web App,,,
2021-11-05 16:58:49+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","El Viejo Faro de Valencia 📷 05/11/2021 ⚓️
https://t.co/YjsSwuTK6p https://t.co/UkW9onhLCB",es,,['https://pbs.twimg.com/media/FDce_vMWEAEy8Ui.jpg'],Twitter Web App,,,
2021-11-04 10:14:59+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","MEIN SCHIFF 2 #IMO9783576 &amp; COSTA DIADEMA #IMO9636888 📷 Valencia Port on 21/10/2021⚓
https://t.co/jXuxNGoQjB https://t.co/sS6UfkzcN7",fr,"['IMO9783576', 'IMO9636888']",['https://pbs.twimg.com/media/FDV5MFwWQAIycp7.jpg'],Twitter Web App,,,
2021-11-03 19:23:59+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España",Otoñal Río Bohilgues #Ademuz #Valencia 📷 07/11/2013 🍂 https://t.co/c3jsJo79Db,es,"['Ademuz', 'Valencia']",['https://pbs.twimg.com/media/FDStQJlXoAAEQ-t.jpg'],Twitter Web App,,,
2021-11-02 18:19:21+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","Contraluz en la entrada del Puerto de Valencia 📷 24/10/2021 🌅☀️
https://t.co/otNKuoRznX https://t.co/zOI8zsj3Te",es,,['https://pbs.twimg.com/media/FDNUxZ1XMAMt3PN.jpg'],Twitter Web App,,,
2021-11-01 17:02:13+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","#Nymphaeaceae
#Nymphaea alba L. / Nenúfares blancos https://t.co/WZglG6FDEt",ca,"['Nymphaeaceae', 'Nymphaea']",['https://pbs.twimg.com/media/FDH5j4EXEAECKCp.jpg'],Twitter Web App,,,
2021-11-01 13:33:37+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España",@JossettHermanni Muchas gracias Jossette. Feliz Noviembre. Si que he puesto una flor en el twitt anterior https://t.co/I0nOEIcu5g,es,,['https://pbs.twimg.com/media/FDHJ0qpX0AUJnLD.jpg'],Twitter Web App,,,
2021-11-01 05:37:30+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","#FelizNoviembre
#HappyNovember https://t.co/OxEOcKzY7z",und,"['FelizNoviembre', 'HappyNovember']",['https://pbs.twimg.com/media/FDFc4rXXoAIcWNp.jpg'],Twitter Web App,,,
2021-10-31 16:53:51+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","#Nelumbonaceae
#Nelumbo nucifera Gaertn. / Loto sagrado. East indian lotus. Lotus indien. https://t.co/P8V0IVpmZt",es,"['Nelumbonaceae', 'Nelumbo']",['https://pbs.twimg.com/media/FDCuH57WUAIWSqU.jpg'],Twitter Web App,,,
2021-10-30 18:58:40+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","She's the protagonist
Playa de la Malvarrosa #Valencia 📷 23/10/2021 🏖️⛵️
https://t.co/nZ3TOoC5R6 https://t.co/ehOZK2jX3k",ca,['Valencia'],['https://pbs.twimg.com/media/FC-BGcMWEAQSKrA.jpg'],Twitter Web App,,,
2021-10-28 10:42:21+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","Motor del Final
L'Albufera de #Valencia 
https://t.co/vADQrYZ7Ph https://t.co/4NX9n7QkCS",ca,['Valencia'],['https://pbs.twimg.com/media/FCx8SknXIAQiLM6.jpg'],Twitter Web App,,,
2021-10-27 10:32:06+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","3 barcas varadas en la playa de la Malvarrosa #Valencia 
📷 23/10/2021 ⚓️🌅
https://t.co/i3D64h9qVo https://t.co/dI44ifdrHj",es,['Valencia'],['https://pbs.twimg.com/media/FCswUjtWEAIv4ZB.jpg'],Twitter Web App,,,
2021-10-26 05:26:23+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","El Viejo Faro de Valencia despide al crucero Mein Schiff 4 📷 25/10/2021 ⚓️🎇
https://t.co/ooi9KbkSeD https://t.co/y1ioiO4JHo",es,,['https://pbs.twimg.com/media/FCmg0tfXsAQtlXd.jpg'],Twitter Web App,,,
2021-10-23 11:05:09+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","Viejo Faro de Valencia 📷 23/10/2021 🎇
https://t.co/TReSW99VPb https://t.co/gQV0P1kDHw",es,,['https://pbs.twimg.com/media/FCYRdSpX0AIGzg_.jpg'],Twitter Web App,,,
2021-10-23 09:58:47+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","Amanecer con barca.
Playa de la Malvarrosa #Valencia 📷 23/10/2021 🌅
https://t.co/r8Rva8afBA https://t.co/jWPdZeIPCj",es,['Valencia'],['https://pbs.twimg.com/media/FCYCZnJXIAUNMJ8.jpg'],Twitter Web App,,,
2021-10-18 10:58:06+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","#Chelva Judería, hacia el Callejón del Camote.
https://t.co/Uvx9XGm7aK https://t.co/6I5Sr9GtDm",es,['Chelva'],['https://pbs.twimg.com/media/FB-f_8JWUAklS2D.jpg'],Twitter Web App,,,
2021-10-16 16:58:55+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","#Meliaceae
#Melia azedarach L. / Cinamomo. Persian-lilac. Lilas des Indes. https://t.co/LprwNAJalk",in,"['Meliaceae', 'Melia']",['https://pbs.twimg.com/media/FB1fbrzWEAAiiZd.jpg'],Twitter Web App,,,
2021-10-16 16:21:10+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","#Marantaceae
#Thalia dealbata Fraser / Powdery alligator-flag. Hardy canna. https://t.co/UJwSCm06gs",en,"['Marantaceae', 'Thalia']",['https://pbs.twimg.com/media/FB1WyPLXIAYXWHa.jpg'],Twitter Web App,,,
2021-10-16 09:20:10+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España",Rocky sunrise 🌅 https://t.co/23xkXY4tak,en,,['https://pbs.twimg.com/media/FBz2LCfWQAMioWS.jpg'],Twitter Web App,,,
2021-10-14 10:12:24+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","#Campanulaceae
#Triodanis perfoliata (L.) Nieuwl. / Clasping Venus looking-glass. Spéculaire perfoliée. https://t.co/kM2fzakpXt",fr,"['Campanulaceae', 'Triodanis']",['https://pbs.twimg.com/media/FBpvNdGXsAcnBkF.jpg'],Twitter Web App,,,
2021-10-13 16:54:04+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","#Sevilla Plaza de España, puente de León.
https://t.co/cJcoVLWyj7 https://t.co/gEN9PXYrJD",es,['Sevilla'],['https://pbs.twimg.com/media/FBmBjgxX0A4DTbA.jpg'],Twitter Web App,,,
2021-10-12 10:20:30+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","#Malvaceae
#Hibiscus rosa-sinensis L. 'Seminole' / Hibisco. Hawaiian hibiscus. Hibiscus. https://t.co/yoMnGpc9Lf",ca,"['Malvaceae', 'Hibiscus']",['https://pbs.twimg.com/media/FBfd4mvXoAQQRPw.jpg'],Twitter Web App,,,
2021-10-10 16:35:58+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España",Algunas fotografías de esta mañana del 10/10/2021 en el Puerto de Valencia. 🌅⚓️🚢☁️ https://t.co/vBnB1du4Be,es,,['https://pbs.twimg.com/media/FBWgb_9XsAIzNck.jpg'],Twitter Web App,,,
2021-10-09 05:37:39+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España",Salty sunrise 🌅 https://t.co/GJmBena7tm,en,,['https://pbs.twimg.com/media/FBPAOO0XoAA1qpy.jpg'],Twitter Web App,,,
2021-10-08 11:03:57+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","#Malvaceae
#Hibiscus moscheutos L. / Hibisco. Crimsoneyed rosemallow. Ketmie des marais. https://t.co/3HXw1wBARS",in,"['Malvaceae', 'Hibiscus']",['https://pbs.twimg.com/media/FBLBaS2WUAMpuq9.jpg'],Twitter Web App,,,
2021-10-08 10:23:58+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","#Malvaceae
#Hibiscus mutabilis L. / Malva rosa. Cotton-rose. Caractère des dames.
#Valencia Jardín de Ayora https://t.co/XPOEkoYzJZ",ca,"['Malvaceae', 'Hibiscus', 'Valencia']",['https://pbs.twimg.com/media/FBK4EjwX0AcR09-.jpg'],Twitter Web App,,,
2021-10-04 09:15:30+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","#Ranunculaceae
#Nigella damascena L. / Cabellos de venus. Love in a mist. Nigelle de Damas. https://t.co/vn7yd9dcgh",es,"['Ranunculaceae', 'Nigella']",['https://pbs.twimg.com/media/FA2CSbaXIAIVxB7.jpg'],Twitter Web App,,,
2021-10-04 06:01:29+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","#Valencia, vista al oeste de Santa Caterina.
https://t.co/m6AuFgaJRf https://t.co/gDcoY1CEKs",es,['Valencia'],['https://pbs.twimg.com/media/FA1V4XcXsAMyrcQ.jpg'],Twitter Web App,,,
2021-10-02 05:18:28+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España",Sunrise at the anchorage 📷 Sagunto 05/07/2009 🌅 https://t.co/lS3lFY9usk,en,,['https://pbs.twimg.com/media/FAq42xkWUAITSOi.jpg'],Twitter Web App,,,
2021-10-01 16:29:36+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","#Malvaceae
#Ceiba speciosa (https://t.co/eU7sQhjIrI.-Hil.) Ravenna / Palo borracho. Floss-silktree. https://t.co/XDLzzY0CXa",et,"['Malvaceae', 'Ceiba']",['https://pbs.twimg.com/media/FAoIzivXoAQmZy6.jpg'],Twitter Web App,,,
2021-10-01 06:05:52+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España",#FelizOctubre #HappyOctober https://t.co/t7J36conQv,und,"['FelizOctubre', 'HappyOctober']",['https://pbs.twimg.com/media/FAl6DTmWUAE4upx.jpg'],Twitter Web App,,,
2021-09-30 10:36:30+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","Puente giratorio de La Marina de Valencia 📷 30/09/2021 ☁️
https://t.co/y7gI52zI4A https://t.co/9VLmBhzMZn",es,,['https://pbs.twimg.com/media/FAhud8yXEAs02fM.jpg'],Twitter Web App,,,
2021-09-28 11:18:05+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","#Zygophyllaceae
#Tribulus terrestris L. / Abrojos. Caltrop. Tribule terrestre. https://t.co/eBtCVSJz1E",ca,"['Zygophyllaceae', 'Tribulus']",['https://pbs.twimg.com/media/FAXkzI1WEAUlrEk.jpg'],Twitter Web App,,,
2021-09-27 12:18:12+00:00,Manuel Hernández Lafuente ⚓🌱📷,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","#Poaceae
#Arundo donax L. / Caña común. Giant reed. Canne de Provence. https://t.co/D6bWC0sK4E",ca,"['Poaceae', 'Arundo']",['https://pbs.twimg.com/media/FASo909VUAsMFkV.jpg'],Twitter Web App,,,
